dataset,feature,mean_abs_shap,mean_value,mean_value_correct,mean_value_incorrect,correct_minus_incorrect,value_shap_correlation
combined_mean__judge_only,completeness,0.06352580841925641,0.810767607120242,0.8247739407509472,0.7482372164552096,0.07653672429573766,0.7860561646535356
combined_mean__judge_only,plausibility,0.03882754693436838,0.8514820938577359,0.8628858077850498,0.8005709342560555,0.06231487352899423,0.7381351883652284
combined_mean__judge_only,informativeness,0.031814239122349035,0.8048550622669388,0.8161746469169826,0.7543194925028834,0.06185515441409917,0.36131153835539326
combined_mean__judge_only,non_hallucination,0.031233924262397423,0.7376897910363751,0.7467413021012745,0.6972798923490965,0.049461409752178054,-0.8542791281934066
combined_mean__judge_only,conciseness,0.017510017046945558,0.9145166396960529,0.9175426283155358,0.9010073048827376,0.016535323432798177,0.408405436560937
combined_mean__judge_only,source_consistency,0.010785569672302915,0.7855431647083655,0.7979107819497072,0.7303287197231834,0.06758206222652385,0.06369966868206922
combined_mean__full,completeness,0.04406331905303916,0.810767607120242,0.8247739407509472,0.7482372164552096,0.07653672429573766,0.7544570130127257
combined_mean__full,plausibility,0.030248335874938463,0.8514820938577359,0.8628858077850498,0.8005709342560555,0.06231487352899423,0.7403045476454883
combined_mean__full,informativeness,0.027259106335458857,0.8048550622669388,0.8161746469169826,0.7543194925028834,0.06185515441409917,0.5590829531331915
combined_mean__full,evidence_words,0.026409970061023438,251.39280939984522,256.3242335514984,229.3767781622453,26.947455389253122,0.47492293937254676
combined_mean__full,conciseness,0.015340815128677542,0.9145166396960529,0.9175426283155358,0.9010073048827376,0.016535323432798177,0.6483649561911486
combined_mean__full,non_hallucination,0.012411790643013676,0.7376897910363751,0.7467413021012745,0.6972798923490965,0.049461409752178054,-0.5288953640088582
combined_mean__full,rationale_words,0.011645682565873576,54.019770632519524,53.67783327592146,55.54632833525567,-1.8684950593342151,-0.8886428700703987
combined_mean__full,source_consistency,0.006870577018263834,0.7855431647083655,0.7979107819497072,0.7303287197231834,0.06758206222652385,0.5730127234324623
combined_mean__full,cat_economy-business,0.004242515194780106,0.19883205516076832,0.18859800206682742,0.24452133794694347,-0.055923335880116054,-0.7629227734116755
combined_mean__full,cat_finance,0.003935607556815603,0.21719552522338703,0.2255425421977265,0.17993079584775087,0.04561174634997561,0.7794543432723159
combined_mean__full,cat_technology,0.0036584251182527508,0.04812495602617322,0.05098174302445746,0.03537101114955786,0.0156107318748996,0.8686025268831427
combined_mean__full,cat_geopolitics,0.003560251505591438,0.16892985295152324,0.173269032035825,0.14955786236063054,0.02371116967519446,0.6370895037958617
combined_mean__full,cat_politics,0.0031842352563947575,0.13930908323365931,0.14355838787461248,0.12033833141099577,0.023220056463616703,0.8145156710037966
combined_mean__full,cat_sports-entertainment,0.002878688144875429,0.04552170548089777,0.04891491560454702,0.03037293348712034,0.01854198211742668,0.9535806294307021
combined_mean__full,cat_environment-climate,0.0019760247968474576,0.027861816646731864,0.022821219428177747,0.050365244136870435,-0.027544024708692688,-0.9268036848603561
combined_mean__full,cat_law,0.001545152180103069,0.06958418349398438,0.0718222528418877,0.059592464436755095,0.012229788405132606,0.8951473316895074
combined_mean__full,cat_health-pandemics,0.00133403149963546,0.07092098782804475,0.06777471581122976,0.08496732026143791,-0.01719260445020815,0.28803552718261455
combined_mean__full,cat_space,0.0008450651431980975,0.039189474424822346,0.03737512917671375,0.04728950403690888,-0.009914374860195134,-0.6523011312860749
combined_mean__full,cat_artificial-intelligence,0.0008073629807273396,0.09167663406740308,0.08732345849121598,0.1111111111111111,-0.023787652619895128,0.28296444255471337
combined_mean__full,cat_elections,0.0006874438519699918,0.11074368535847463,0.10911126420943851,0.11803152633602461,-0.008920262126586101,0.5309380644681836
combined_mean__full,cat_other,0.00048122617299802944,0.023429254907479068,0.023165690664829486,0.024605920799692427,-0.001440230134862941,0.828632219035801
combined_mean__full,variant_variant4_credibility,0.0003077660490614099,0.11102511784985576,0.11135032724767482,0.10957324106113034,0.0017770861865444854,0.725507872197431
combined_mean__full,variant_variant6_step_by_step_reasoning,0.0002548980500185345,0.11109547597270104,0.11186703410265243,0.10765090349865436,0.004216130603998072,0.8752910553320928
combined_mean__full,variant_variant8_temporal_anchors,0.00023378789522361014,0.11109547597270104,0.11074750258353427,0.11264898116109189,-0.001901478577557611,-0.8021676506185305
combined_mean__full,variant_variant2_key_attribute,0.00020386744928157556,0.11116583409554633,0.11186703410265243,0.10803537101114956,0.0038316630915028738,0.7582064942727584
combined_mean__full,variant_variant5_key_conditions,0.00020198223727904187,0.11102511784985576,0.11109197382018601,0.11072664359861592,0.00036533022157009265,0.8061753474333215
combined_mean__full,variant_variant7_uncertainty_language,0.00014877306246035014,0.11116583409554633,0.11100585601102309,0.1118800461361015,-0.0008741901250784168,-0.08640376951121298
combined_mean__full,variant_variant1_predicted_event,0.00013542675894482096,0.11116583409554633,0.1100585601102308,0.11610918877354863,-0.0060506286633178336,-0.19609854899140206
combined_mean__full,variant_variant3_reasoning_type,8.620980599818193e-05,0.11109547597270104,0.11023079572855667,0.11495578623606305,-0.0047249905075063825,0.15693821209627984
combined_mean__full,temperature,0.0,0.25,0.25,0.25,0.0,0.0
combined_mean__full,output_valid,0.0,1.0,1.0,1.0,0.0,0.0
