judge,model,temperature_dir,variant,id,forecast_correct,plausibility,completeness,source_consistency,non_hallucination,informativeness,conciseness,shap_completeness,shap_plausibility,shap_informativeness,shap_conciseness,shap_temperature,shap_evidence_words,shap_source_consistency,shap_model_Qwen3-32B,shap_non_hallucination,shap_rationale_words,shap_cat_finance,shap_cat_artificial-intelligence,shap_cat_economy-business,shap_cat_politics,shap_cat_health-pandemics,shap_cat_sports-entertainment,shap_model_Qwen2.5-7b-instruct,shap_cat_space,shap_cat_technology,shap_cat_environment-climate,shap_cat_geopolitics,shap_variant_variant4_credibility,shap_cat_elections,shap_cat_law,shap_cat_other,shap_variant_variant5_key_conditions,shap_variant_variant3_reasoning_type,shap_variant_variant6_step_by_step_reasoning,shap_variant_variant1_predicted_event,shap_variant_variant7_uncertainty_language,shap_variant_variant2_key_attribute,shap_variant_variant8_temporal_anchors,shap_output_valid
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,124,1,0.9,0.9,0.9,0.95,0.9,0.9,0.07279346206225068,0.04317043643872101,0.039452846155710965,0.02263943301962055,0.011823442374769875,0.00868728930043717,0.01389576819841305,0.002429259035115728,0.012014356647801263,-0.009913837870020306,-0.005553799708457306,0.0019325593660026803,0.003342124269122104,-0.0006911845216039779,0.0002945223856681662,-0.0012496712343056692,0.0014066232888099582,0.0002009001345104284,-0.00019794423294775728,-0.01654690923921631,-0.00015564774357443626,-0.00011656076747891039,0.0006156723473333354,0.0006376947207852867,-9.446539667369392e-05,6.470749962842423e-05,0.00014014122352486633,-4.784631227153827e-06,-1.2979556879163077e-05,-2.0439155888910774e-05,-6.999200771184385e-05,3.1075416183257544e-05,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,229,1,0.5,0.4,0.3,0.2,0.5,0.9,-0.0539846436195615,-0.04241428478757867,-0.02870348966771154,0.018547195143517416,0.04512976307264772,0.025562127242886132,-0.009891595588685381,0.007042780700679696,-0.0009979084714973696,0.0037399925805305643,-0.0017828718814551134,0.002126261873928337,0.0012076405601605881,-0.0012014367552207507,0.001760265538447486,-0.0007930257342658397,0.0022308852533554336,0.00039317884438821446,0.0178507970606974,0.0004340100655966601,-3.654121969753029e-05,-0.00028696204430661554,-0.00015316290991025048,-0.00031271654406333073,-7.31865976512371e-05,8.424939632066993e-05,1.770792324353892e-05,-5.373398395389829e-07,4.3711225473059374e-05,2.2354214487698158e-05,1.3950794424590866e-05,5.711940511985553e-06,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,229,1,0.5,0.4,0.3,0.2,0.5,0.9,-0.05435073962051092,-0.0423316648238721,-0.02863654050646762,0.018478264538520667,0.04514115008455098,0.025586435581940382,-0.010142638709775914,0.006950638964889175,-0.0010086216891638693,0.003759989525354599,-0.001813334094315341,0.0021273316227339795,0.0012112595092968398,-0.001174038697426411,0.0017511119363461901,-0.0007834238731468579,0.0023296021377035617,0.00039279083818701715,0.017850516226664236,0.00043348769660830867,-4.047129614720351e-05,-0.0002862991861463652,-0.00014361454313744178,-0.00030947323234269055,-7.259145127000147e-05,-0.0004962638429090531,1.7566235669599027e-05,-8.095691188440251e-07,4.373303382857179e-05,2.3477786707311616e-05,1.3859083345986383e-05,5.8250187591966015e-06,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,512,0,0.8,0.6,0.3,0.2,0.6,0.8,-0.025724662128620047,0.015635324741950195,-0.021697792330349287,-0.016018400684153836,0.038039650007420316,-0.00972739712606417,-0.003979635443311379,0.008058624814502249,0.0020307981836026638,0.0027397056916059087,-0.0032244812050419174,-0.01809055124226744,-0.00013674332690242973,-0.0007977648982921597,0.0016608563848089035,-0.0004627822110546498,0.0030306787988540968,0.000662806658784859,-0.0008777849097534558,0.0007584677953990555,-0.00048050061302725144,-0.0004865035290184147,2.2552758255301477e-05,-0.000449343992964571,-0.00012603622569770916,3.4916122468783056e-05,5.768097188839745e-05,-1.9131799965868294e-05,-1.0702021364680028e-05,4.3785923193910636e-05,2.4881103034891208e-05,-5.0569629017300855e-05,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,512,0,0.9,0.7,0.9,1.0,0.6,0.9,-0.012227403324526194,0.04309214220287966,-0.028565456935107512,0.013036367998484814,0.021539203442939487,-0.011086535553730082,0.013748982637503815,0.0077873407984188035,0.011705004749994717,-0.007710973891005227,-0.0036628581932351975,-0.022852800678061436,-0.0004264702430633739,-0.0009691783979258319,0.0008493526888387273,-0.0006239740933983055,0.0009151498969732416,0.0005603804762734523,-0.0005069835998600825,0.000645678707312148,-0.0003538904463255421,0.000941630771152814,0.00023749627646934383,-0.0009110417611738679,-0.00012418106692117317,3.836626510735794e-05,0.00012591236548680992,-6.945473847654683e-05,-0.00011632211403271626,-6.559292472225606e-05,2.659072882008489e-07,5.061974305788317e-06,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,1079,1,0.8,0.8,0.6,0.6,0.8,0.9,0.044439002319261206,-0.009059501239589306,0.025814074285946387,0.0219014916721122,0.037616308158223546,0.011471435663303864,0.0027567854423192037,0.008930902639096953,-0.0005516669629489247,0.0056351351943419335,-0.003023212819353879,0.0016803328692863747,-0.005831883219482545,-0.0006250898373598127,0.0006200830266742573,-0.0005589749390866488,0.0023744019252219025,-0.0050691469777250486,0.008239416133188316,0.000655067779046871,0.0002857782968551126,-0.00022437015966467733,0.0003290405321002281,8.857571206120499e-05,-0.00011321741080555973,7.596672786426578e-05,4.9235122585919834e-06,-1.9755087183326798e-05,6.247544015753369e-05,2.332095399991927e-05,-5.574639541028792e-05,-9.478335677690295e-06,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,1079,1,0.8,0.7,0.6,0.5,0.7,0.9,0.006303142181877467,-0.0011832140477497206,-0.006056232451786697,0.016761904676515237,0.03970985471758922,0.01397962500641539,-0.0036508289779596044,0.007912733056435906,-0.0017843381089875478,0.0011312210039617862,-0.0022864902638489817,0.0017290707552058368,-0.0024573506216973976,-0.0006223379375769524,0.0009163270090303123,-0.0004428671230641028,0.0017141517807420573,-0.007840623296999553,0.010445836818328258,0.0009078954778373729,6.189004890623692e-05,-0.0002708154160776139,-7.00331291192451e-05,-0.0004094287472011269,-8.714087044028911e-05,0.00013470417983594112,-0.00023386512483637717,-9.184901290316226e-06,-9.352990990441691e-06,3.3661677051529365e-05,1.966025155659531e-05,-7.756863087284732e-05,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,1079,1,0.9,0.8,0.9,1.0,0.8,0.9,0.02241198759264819,0.04361060239594533,0.019908001911124126,0.01983995720101193,0.020633272156100085,0.015431664825955933,0.007677032321687093,0.007210728906431811,0.010404654440907778,0.006501554440105325,-0.0032731084470574265,0.001416767879773996,-0.0032793623852822367,-0.0009721294536434402,0.0003274859295838553,-0.0007180323754909163,0.0012921339037162707,-0.0012833549336180212,0.007985843717973982,0.0006203019055931922,0.00016191824604963893,-0.00010925347203781658,0.0010830336301640988,-0.00015441799949775622,-0.00012454996839971808,3.619456380544172e-05,-3.956038800785532e-06,0.0007064332471894379,5.79961739032992e-05,3.5397071509625327e-06,3.0197464287209914e-06,3.715056399378976e-05,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,1079,1,0.9,0.8,0.9,1.0,0.8,0.9,0.02272809694288081,0.044016834526772235,0.01975131233781382,0.02027343284633028,0.02003387920953861,0.01570062856394769,0.007298432021769681,0.0069811824197664255,0.010342815102214277,0.009076157148417098,-0.0034533888320825786,0.0014302914326353407,-0.0037435416935642763,-0.000975685111059584,0.0003205434235353115,-0.000780172688912425,0.001126686310292058,-0.0017139076407995072,0.007807111461837723,0.0006182152285428713,0.00010628624138815171,-0.00011505923328296693,0.0009781567107398088,-0.0001635948757361609,-0.00012498589002342433,3.7769016365348526e-05,2.400629363880756e-05,-7.288195827030741e-05,7.798697076728167e-05,3.798655948724349e-06,2.663170111046048e-06,-0.00023774641984196593,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,1402,1,0.1,0.0,0.0,0.0,0.1,0.8,-0.04527514606864165,-0.03462980233147114,-0.02290440869015533,-0.013067036064531913,0.04308205062817132,-0.010870293342371279,-0.008805223195993188,0.00711804156402228,0.002083853941372014,-0.0016206964720403578,-0.002678458787017211,0.0019689471169464503,0.0013923676029916664,-0.000916640675637367,0.0013509362071772175,-0.0006863836840674068,0.0026327230546454392,-0.0006732046094385369,0.024953627209863032,0.000393210626233382,-1.23544976163057e-05,-0.0005524447941828752,-3.59610150807408e-05,-0.000312559963691291,-0.00010351662574608242,1.624404696356824e-05,2.6274447797721697e-05,-1.937253353452229e-05,0.00013042840036333274,2.7390451067917e-06,-1.2930365418546045e-05,-9.635054192008464e-06,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,1402,1,0.1,0.0,0.0,0.0,0.1,0.8,-0.04602517261665304,-0.035881886377373926,-0.022921547307186846,-0.013332820871895142,0.04360050828783321,-0.011347106865321718,-0.008711903652939572,0.0069289222234307085,0.0020979455182737515,0.0019490490091608338,-0.002691635596085588,0.0018919079455065589,0.001677318843343249,-0.0009138469299572711,0.0013088757150711806,-0.0007005090516366038,0.0026393061559288273,-9.950367036750838e-05,0.024887199692878004,0.0003761996211544897,-1.9330897387103615e-05,-0.00045958475432643456,1.3754232975707698e-05,-0.00029996489779603543,-0.00010295725949799602,1.3842858964375946e-05,2.1167780638005138e-05,0.00030202933405880004,0.0001345080068073159,6.465447111038205e-06,4.773122181873211e-06,-1.1341000251929664e-05,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,1517,1,0.8,0.7,0.6,0.6,0.7,0.9,0.010017710903693534,0.004108167562808764,0.00017219767230715856,0.015677301266836825,0.031109670567394485,-0.038765376545348236,0.0002898296407560291,0.009640212977961407,-0.0021868604969033025,0.007997759002910101,-0.0014635544949637613,0.0006542957254125791,-0.003012131114195356,-0.0009055251003470317,0.000862602456072004,-0.0005657549688887388,0.0012065924973603274,0.0005485948019209014,-0.0004891783668921455,0.0004167833790869523,-3.809705214242355e-05,-0.0003369364460306448,9.806897914110194e-06,-0.0004255442749162429,-8.489821631312689e-06,0.0001562392651534965,4.654382515681099e-05,-6.047579047698581e-05,1.1185204344292593e-05,2.0729085314414493e-05,-0.00040016855827897655,-7.677235526684928e-05,0.0
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,1517,1,0.7,0.7,0.5,0.2,0.6,0.8,0.03519516940790903,-0.023073670642737215,-0.02082664758172678,-0.010123039714635783,0.03348231991344678,-0.04093169935790095,-0.005032406766856119,0.009464463848500868,0.008051246837704881,-0.006358824235945251,-0.0023822949591568968,0.0011961747386991504,-0.003331933230158852,-0.0010153126353094632,0.0013622113881776368,-0.0005251893074921059,0.001888964777136841,0.0005103254170649477,-0.0008057233697787362,0.0005663793113095491,-0.0001073136297326334,-0.0005705347097575094,0.0003467784896326943,-0.00030377602947330277,-1.3116061937141886e-05,-0.0005370302270197593,4.124765214474826e-05,-4.135376817566997e-05,-1.1278318524249266e-05,-3.6145755683516854e-05,7.167510395162165e-05,-3.423596183499562e-05,0.0
