judge,model,temperature_dir,variant,id,forecast_correct,plausibility,completeness,source_consistency,non_hallucination,informativeness,conciseness,shap_plausibility,shap_completeness,shap_informativeness,shap_source_consistency,shap_evidence_words,shap_rationale_words,shap_cat_finance,shap_temperature,shap_model_Qwen3-32B,shap_cat_artificial-intelligence,shap_non_hallucination,shap_cat_politics,shap_cat_economy-business,shap_model_Qwen2.5-7b-instruct,shap_cat_sports-entertainment,shap_cat_health-pandemics,shap_cat_space,shap_cat_environment-climate,shap_cat_technology,shap_cat_geopolitics,shap_conciseness,shap_cat_law,shap_cat_elections,shap_cat_other,shap_variant_variant4_credibility,shap_variant_variant5_key_conditions,shap_variant_variant6_step_by_step_reasoning,shap_variant_variant8_temporal_anchors,shap_variant_variant1_predicted_event,shap_variant_variant3_reasoning_type,shap_variant_variant7_uncertainty_language,shap_variant_variant2_key_attribute,shap_output_valid
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,124,1,1.0,1.0,1.0,1.0,1.0,1.0,0.03858714532063931,0.01881199293952972,0.020338803318108657,0.012974026303013454,0.00925944972591875,-0.01898228873739581,-0.009352863094300393,0.010556120812219679,0.006776838499753373,0.0023901179079119732,7.432757695313618e-05,-0.0010046499179922372,0.0025587092015851693,-0.0009857876473771724,-0.000644293476651238,0.0005068633325641815,0.0006637841957604698,-0.024089121418276082,-0.0006194260995943704,-0.0004898754670230002,0.0004453977991597073,0.00019157375496229787,0.00017335148753594301,-5.701181763409093e-05,-0.00017376531205776484,3.6804475249041776e-05,-5.424657095914534e-05,3.461215154431067e-05,6.951957082022173e-05,0.00011243879615944977,-5.0535558303298236e-05,-2.1704362788907484e-05,0.0
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,229,1,0.5,0.5,0.5,0.0,0.5,1.0,-0.08757197315685673,-0.037061500324856986,-0.027066778045398556,-0.019599220996624592,0.016927820305006062,0.005746118666038776,-0.003173867104358975,0.051932909533882236,0.010441552941777335,0.0020273025868916164,0.012863685031137684,-0.005073837833638334,0.0015673210090757987,0.00204953402065505,-0.00062158154053622,0.003007452120377765,3.5192908978564696e-06,0.0011286169864130008,0.009105417709641206,8.530579441537533e-05,0.00019498478184441654,-0.00021043626617697772,-2.7238451498417045e-06,-0.00022136834117668293,-0.00012350936131502008,0.00010789697733487285,0.00010329670420884916,-2.398761267295858e-05,-1.164312002661851e-05,1.8899173397743056e-05,1.58754407993437e-05,-7.0512252379065585e-06,0.0
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant5_key_conditions,229,1,0.5,0.5,0.5,0.0,0.5,1.0,-0.08772649285759589,-0.03717918141263996,-0.027687328697796054,-0.019930413301262773,0.016998049784846828,0.005783803682353386,-0.003124629489990822,0.05233515057642237,0.010484499766312216,0.0020084528724608787,0.012655192665002752,-0.005049855289877318,0.0016457022349249837,0.002151745134724911,-0.0006338047170418912,0.003002289731406261,5.6980278803127684e-06,0.001109083155139343,0.008622988848212006,3.28968708702034e-05,7.413701537190554e-05,-0.00018779681581533963,-3.4258108033494043e-06,-0.00022304018298650969,-0.00012360021606829268,-0.0005236065826860751,0.00011137113935695565,-2.3411072739782994e-05,-1.1728891485699166e-05,1.758600451932556e-05,1.7935089133708014e-05,-6.382432271359758e-06,0.0
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant2_key_attribute,273,1,1.0,1.0,1.0,1.0,1.0,1.0,0.03804145338725069,0.019232860409581852,0.021570130167894976,0.013806870818682761,0.012672938216613796,-0.015541152981859596,-0.00834487125123259,0.013857583709468978,0.007897397285315548,0.002923508357846876,6.728730856642626e-05,-0.0013013167228817285,0.0011237223704740997,-0.0006901868538111701,-0.0006567694017509242,0.0006251931467788325,0.0006894575581557131,0.0008950806966651629,0.012446965815035583,-4.6636334268234666e-05,0.0004961787108300538,-0.0002467150231665067,0.00019784836573456658,-5.2652243313689506e-05,-0.00017682868376394498,-2.7644803269513522e-05,1.3575337601464841e-05,4.830643668545332e-05,8.438507035085208e-05,5.60821452407971e-05,-0.00011050705351737605,2.505025898412199e-05,0.0
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant4_credibility,273,1,1.0,1.0,1.0,1.0,1.0,1.0,0.037687047457990425,0.019394337926274603,0.021720864194151483,0.01346185394164158,0.012709901189998818,-0.010992141409599893,-0.008298301352071281,0.014216058925397776,0.007875838751366812,0.002976261310382279,-8.964106937078565e-05,-0.001282714076900643,0.0009639189536992873,-0.0006640999114235332,-0.0006708637008232172,0.0006186794888156307,0.000707258870236079,0.0009306252355987828,0.012596854785985505,8.074686424371199e-07,0.0005044464307992665,-0.0002475953877799266,0.00016771665136630773,-5.427622455415447e-05,0.0006929623719143668,-2.621199021685637e-05,1.9634985336516408e-05,6.086099298298121e-05,6.700951928325298e-05,6.069972356132816e-05,-7.059512233417584e-05,-1.623231845242035e-06,0.0
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant2_key_attribute,477,1,1.0,1.0,1.0,1.0,1.0,1.0,0.03884730628748882,0.020826735303282204,0.021867831147648908,0.01657374220358416,0.018943684464992862,-0.0046000561502476936,-0.008741496049454445,0.01465938687877542,0.008595152972694168,0.002692547912384546,0.0008608809299405503,-0.0010505694991886562,0.0010396853362107078,-0.0004902357078301823,-0.0007094164809858507,-0.0045596611523726896,0.0008105581369205225,0.0008554256564115255,-0.0004839129858102275,-0.00034056003470710655,0.00030282267614575506,-0.00021467815068248116,3.832887491889079e-05,-5.656497493340737e-05,-5.53610812817722e-05,-5.22036000998013e-05,-4.692115627429008e-05,4.393914913391244e-05,1.811906285879889e-05,3.307091756265792e-05,1.0967970932531483e-06,0.00022158063928531617,0.0
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant3_reasoning_type,477,1,1.0,1.0,1.0,1.0,1.0,1.0,0.038706093500875095,0.020365280939535303,0.021824102634850986,0.016403182348573585,0.018783290561262427,-0.014373094027421257,-0.008611676701602407,0.013779302395129235,0.008409173872536695,0.002737178064240092,0.0009260027547003705,-0.0010255729748859168,0.0008389279258447055,-0.0005584320455657448,-0.0006099433962466882,-0.004996339705958809,0.0007686619582572576,0.0008943149179232721,-0.0005337536967020023,-0.0004947283017316629,0.00022607635931562036,-0.00017246852087395077,9.149422096087136e-05,-6.058425413968588e-05,-0.00011464938334746988,-2.3770538168846158e-05,-2.7446634735608686e-05,0.00010417584800461501,3.88782089554352e-05,-0.0007615366504029638,-3.771788996122724e-05,-9.238210553977411e-06,0.0
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,477,1,1.0,1.0,1.0,1.0,1.0,1.0,0.03939215558173187,0.021176309467738137,0.02205240436824797,0.01661763295195383,0.018653568565891124,0.0015798341749616344,-0.008453064487155574,0.014785747924144627,0.008164008159633576,0.002797602952716806,0.0010220262071324517,-0.0010996686752154981,0.0012738381380517146,-0.0004138218711522111,-0.0008073958974849723,-0.0044176586102297665,0.000890400641124837,0.0008624636111216053,-0.0004389349807465845,-0.0003286858972003468,0.00027626030848772404,-0.00022180285525407348,-1.8658865948352368e-05,-5.623072186809201e-05,-3.859659188334441e-05,-5.0857371440018863e-05,0.0007372971520642902,3.3771329608885554e-05,3.820792098153804e-05,3.193988695587509e-05,1.4757452606935459e-06,-2.1647261627542857e-05,0.0
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,477,1,1.0,1.0,1.0,1.0,1.0,1.0,0.040533584469576375,0.02112950653532288,0.022444980360336996,0.016947546585697842,0.019423138712963566,0.01739634355606927,-0.009032078587330185,0.013031587787632252,0.007868820325919037,0.0028354035383163136,0.0010153352642719297,-0.0010592708411981948,0.0014245455588181013,-0.0006928713031691224,-0.000970503358372468,-0.00522368980791749,0.0009906813392792436,0.0006961460019230214,-0.0004419065532138951,-0.00024225191638053365,0.0002903180151962316,-0.00022855682566977304,-2.5434717140670172e-05,-5.4940686791517767e-05,-2.4321650106947933e-05,-1.3586027527214515e-05,-7.301014709299239e-05,-0.0002453429455105981,3.8405970954657214e-05,1.6673168685995474e-05,1.4044810388489058e-05,-5.800069514270441e-05,0.0
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,512,0,1.0,1.0,1.0,1.0,1.0,1.0,0.03584406797447031,0.02114250585865726,0.02349131463777119,0.013683783966347006,-0.0008016305036678902,0.01688856134232973,-0.008973643323468854,0.013061755086088056,0.009506720462030422,-0.03140061805894893,-5.9102302249579854e-05,-0.0011035701493578075,-0.0011474371541708248,-0.0007446842735600739,-0.0010753810356250292,0.0006774853600647283,0.001075856194526965,0.0006642877275923873,-0.0004174583383929387,0.00013866259314701697,0.0004955262660836722,-0.00045751467844748847,0.0002437623167522809,-3.201869311133457e-05,4.311267435572851e-06,-7.565106814280699e-06,-7.041778594594762e-05,-1.825085510261064e-05,4.789172411692604e-05,3.92510562159291e-05,1.187860352879079e-06,3.796908157234475e-05,0.0
